"TurnId","OrderNo","ItemNo","Direction1","Distance1","Direction2","Distance2","Direction3","Distance3"
"306EMar1808","26","","","","","","",""
"306EMar1808","27","","","","","","",""
"306EMar1808","28","","","","","","",""
"306EMar1808","29","","","","","","",""
"306EMar1808","30","","","","","","",""
"306EOct1808","1","","","","","","",""
"306EOct1808","2","","","","","","",""
"306EOct1808","3","","","","","","",""
"306EOct1808","4","","","","","","",""
"306EOct1808","5","","","","","","",""
"306EOct1808","6","","","","","","",""
"306EOct1808","7","","","","","","",""
"306EOct1808","8","","","","","","",""
"306EOct1808","9","","","","","","",""
"306EOct1808","10","","","","","","",""
"306EOct1808","11","","","","","","",""
"306EOct1808","12","","","","","","",""
"306EOct1808","13","","","","","","",""
"306EOct1808","14","","","","","","",""
"306EOct1808","15","","","","","","",""
"306EOct1808","16","","","","","","",""
"306EOct1808","17","","","","","","",""
"306EOct1808","18","","","","","","",""
"306EOct1808","19","","","","","","",""
"306EOct1808","20","","","","","","",""
"306EOct1808","21","","","","","","",""
"306EOct1808","22","","","","","","",""
"306EOct1808","23","","","","","","",""
"306EOct1808","24","","","","","","",""
"306EOct1808","25","","","","","","",""
"306EOct1808","26","","","","","","",""
"306EOct1808","27","","","","","","",""
"306EOct1808","28","","","","","","",""
"306EOct1808","29","","","","","","",""
"306EOct1808","30","","","","","","",""
"307EApr1808","1","","","","","","",""
"307EApr1808","2","","","","","","",""
"307EApr1808","3","","","","","","",""
"307EApr1808","4","","","","","","",""
"307EApr1808","5","","","","","","",""
"307EApr1808","6","","","","","","",""
"307EApr1808","7","","","","","","",""
"307EApr1808","8","","","","","","",""
"307EApr1808","9","","","","","","",""
"307EApr1808","10","","","","","","",""
"307EApr1808","11","","","","","","",""
"307EApr1808","12","","","","","","",""
"307EApr1808","13","","","","","","",""
"307EApr1808","14","","","","","","",""
"307EApr1808","15","","","","","","",""
"307EApr1808","16","","","","","","",""
"307EApr1808","17","","","","","","",""
"307EApr1808","18","","","","","","",""
"307EApr1808","19","","","","","","",""
"307EApr1808","20","","","","","","",""
"307EApr1808","21","","","","","","",""
"307EApr1808","22","","","","","","",""
"307EApr1808","23","","","","","","",""
"307EApr1808","24","","","","","","",""
"307EApr1808","25","","","","","","",""
"307EApr1808","26","","","","","","",""
"307EApr1808","27","","","","","","",""
"307EApr1808","28","","","","","","",""
"307EApr1808","29","","","","","","",""
"307EApr1808","30","","","","","","",""
"307EApr1809","1","","","","","","",""
"307EApr1809","2","","","","","","",""
"307EApr1809","3","","","","","","",""
"307EApr1809","4","","","","","","",""
"307EApr1809","5","","","","","","",""
"307EApr1809","6","","","","","","",""
"307EApr1809","7","","","","","","",""
"307EApr1809","8","","","","","","",""
"307EApr1809","9","","","","","","",""
"307EApr1809","10","","","","","","",""
"307EApr1809","11","","","","","","",""
"307EApr1809","12","","","","","","",""
"307EApr1809","13","","","","","","",""
"307EApr1809","14","","","","","","",""
"307EApr1809","15","","","","","","",""
"307EApr1809","16","","","","","","",""
"307EApr1809","17","","","","","","",""
"307EApr1809","18","","","","","","",""
"307EApr1809","19","","","","","","",""
"307EApr1809","20","","","","","","",""
